title,lyrics
A Wolf at the Door,"Drag him out your window. Dragging out the dead. Singing ""I miss you"". Snakes and ladders. Flip the lid. Out pops the cracker. Smacks you in the head. Knifes you in the neck. Kicks you in the teeth. Steel toe caps. Takes all your credit cards. Get up, get the gunge. Get the eggs. Get the flan in the face. The flan in the face. The flan in the face. Dance, you fucker, dance, you fucker. Don't you dare, don't you dare. Don't you, flan in the face. Take it with the love it's given. Take it with a pinch of salt. Take it to the taxman. Let me back, let me back. I promise to be good. Don't look in the mirror. At the face you don't recognize. Help me, call the doctor, put me inside. Put me inside, put me inside. Put me inside, put me inside. I keep the wolf from the door but he calls me up. Calls me on the phone, tells me all the ways that he's gonna mess me up. Steal all my children if I don't pay the ransom. And I'll never see them again if I squeal to the cops. No no no no no no no no no no no no no. No no no no no no no no no no no no no. No no no no no no no no no no no no no. No no no no no no no no no no no no no. No no no no no no no no no no no no no. No no no no no no no no no no no no no. No no no no no no no no no no no no no. No no no no no no no no no no no no no no. Walking like giant cranes and. With my X-ray eyes, I strip you naked. In a tight little world and are you on the list?. Stepford wives, who are we to complain?. Investments and dealers, investments and dealers. Cold wives and mistresses. Cold wives and Sunday papers. City boys in first class. Don't know we're born at all. Just know someone else is gonna come and clean it up. Born and raised for the job. Someone always does. Oh, I wish you'd get up. Get over, get up, get over, turn your tape off. I keep the wolf from the door but he calls me up. Calls me on the phone, tells me all the ways that he's gonna mess me up. Steal all my children if I don't pay the ransom. And I'll never see them again if I squeal to the cops. So I'm just gonna..."
Lotus Flower,"I will shape myself into your pocket. Invisible. Do what you want. Do what you want. I will shrink and I will disappear. I will slip into the groove. And cut me off. And cut me off. There's an empty space inside my heart. Where the weeds take root. And now I'll set you free. I'll set you free. There's an empty space inside my heart. Where the weeds take root. So now I'll set you free. I'll set you free. Slowly we unfurl. As lotus flowers. 'Cause all I want is the moon upon a stick. Just to see what if. Just to see what is. I can't kick your habit. Just to feed your fast ballooning head. Listen to your heart. We will shrink and we'll be quiet as mice. And while the cat is away. Do what we want. Do what we want. There's an empty space inside my heart. Where the weeds take root. So now I set you free. I set you free. 'Cause all I want is the moon upon a stick. Just to see what if. Just to see what is. Oh, the bird that’s flown into my room. Slowly we unfurl. As lotus flowers. 'Cause all I want is the moon upon a stick. I dance around the pit. The darkness is beneath. I can't kick your habit. Just to feed your fast ballooning head. Listen to your heart"
Man of War,"Drift all you like from ocean to ocean. Search the whole world. But drunken confessions and hijacked affairs. Will just make you more alone. When you come home I’ll bake you a cake. Made of all their eyes. I wish you could see me dressed for the kill. You’re my man of war. You’re my man of war. Yeah, the worms will come for you, big boots. Yeah, yeah, yeah. So unplug the phones, stop all the taps. It all comes flooding back. To poison clouds and poisoned dwarves. You’re my man of war. You’re my man of war. Yeah, the worms will come for you, big boots. Yeah, the worms will come for you, big boots. For you, big boots"
The National Anthem,Everyone. Everyone around here. Everyone is so near. It's holding on. It's holding on. Everyone. Everyone is so near. Everyone has got the fear. It's holding on. It's holding on. It's holding on. It's holding on. It's holding on. Smile
The Bends,"Where do we go from here?. The words are coming out all weird. Where are you now when I need you?. Alone on an aeroplane. Falling asleep against the windowpane. My blood will thicken. I need to wash myself again. To hide all the dirt and pain. 'Cause I'd be scared that there's nothing underneath. And who are my real friends?. Have they all got the bends?. Am I really sinking this low?. My baby's got the bends, oh no. We don't have any real friends. No, no, no. Just lying in a bar with my drip feed on. Talking to my girlfriend, waiting for something to happen. I wish it was the '60s, I wish I could be happy. I wish, I wish, I wish that something would happen. Where do we go from here?. The planet is a gunboat in a sea of fear. And where are you?. They brought in the CIA. The tanks and the whole marines. To blow me away. To blow me sky high. My baby's got the bends. We don't have any real friends. Just lying in a bar with my drip feed on. Talking to my girlfriend, waiting for something to happen. I wish it was the '60s, I wish I could be happy. I wish, I wish, I wish that something would.... I wanna live, breathe. I wanna be a part of the human race. I wanna live, breathe. I wanna be a part of the human race. Race, race, race. Where do we go from here?. The words are coming out all weird. Where are you now when I need you?"
(Nice Dream),"They love me like I was a brother. They protect me, listen to me. They dug me my very own garden. Gave me sunshine, made me happy. Nice dream. Nice dream. Nice dream. I call up my friend, the good angel. But she's out with her answerphone. She said that she'd love to come help, but. The sea would electrocute us all. Nice dream. Nice dream. Nice dream. Nice dream. Nice dream. Nice dream. Nice dream (If you think that you're strong enough). Nice dream (If you think you belong enough). Nice dream (If you think that you're strong enough). Nice dream (If you think you belong enough). Nice dream. Nice dream. Nice dream. Nice dream"
Electioneering,"I will stop, I will stop at nothing. Say the right things when electioneering. I trust I can rely on your vote. When I go forwards. You go backwards. And somewhere we will meet. When I go forwards. You go backwards. And somewhere we will meet. Riot shields, voodoo economics, your turn, your turn. It's just business, cattle prods and the I.M.F. I trust I can rely on your vote. When I go forwards. You go backwards. And somewhere we will meet. When I go forwards. You go backwards. And somewhere we will meet"
Spectre,"I'm lost, I'm a ghost. Dispossessed, taken host. My hunger burns a bullet hole. A spectre of my mortal soul. These rumors and suspicion. Anger is a poison. The only truth that I could see. Is when you put your lips to me. Futures tricked by the past. Spectre, how he laughs. Fear puts a spell on us. Always second-guessing love. My hunger burns a bullet hole. A spectre of my mortal soul. The only truth that I can see. Spectre has come for me"
Faust Arp,"One, two, three, four. Wakey wakey. Rise and shine. It's on again, off again, on again. Watch me fall. Like dominoes. In pretty patterns. Fingers in. The blackbird pie. I'm tingling tingling tingling. It's what you feel now. What you ought to what you ought to. Reasonable and sensible. Dead from the neck up. I guess I'm stuffed, stuffed, stuffed. We thought you had it in you. But no, no, no. For no real reason. Squeeze the tubes and empty bottles. And take a bow take a bow take a bow. It's what you feel now. What you ought to what you ought to. An elephant that's in the room is. Tumbling, tumbling, tumbling. In duplicate and triplicate and. Plastic bags and. Duplicate and triplicate. Dead from the neck up. I guess I'm stuck, stuck, stuck. We thought you had it in you. But no, no, no. Exactly where do you get off. Is enough, is enough?. I love you but enough is enough, enough of that stuff. There's no real reason. You've got a head full of feathers. You got melted to butter"
Morning Bell,"The morning bell. The morning bell. Light another candle and. Release me. Release me. You can keep the furniture. A bump on the head. Howling down the chimney. Release me. Release me. Please. Release me. Release me. Where'd you park the car?. Where'd you park the car?. Clothes are on the lawn with the furniture. Now I might as well. I might as well. Sleepy jack the fire drill. Round and round and round and round and round and round and round. And round. Cut the kids in half. Cut the kids in half. Cut the kids in half. The lights are on but nobody's homeEverybody wants to be a friend. The lights are on but nobody's home. Nobody wants to be a slave. Walking, walking, walking, walking. Walking, walking, walking, walking. Walking, walking, walking, walking. Walking, walking, walking, walking"
You and Whose Army?,"Come on, come on. You think you drive me crazy?. Well, come on, come on. You and whose army?. You and your cronies. Come on, come on. Holy Roman Empire. Come on if you think. Come on if you think. You can take us on. You can take us on. You and whose army?. You and your cronies. You forget so easy. We ride tonight. We ride tonight. Ghost horses. Ghost horses. We ride tonight. We ride tonight. Ghost horses. Ghost horses. Ghost horses"
Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,"All the holes at once. Are coming alive, set free. Out of sight and out of mind. The lonely and their prey. The ones you light your fires to keep away. Is crawling out upon its belly. And all you have to do is say yes. All the birds stay up. In the trees. All the fish swim down to the deep. The lonely and their prey. I am here. Come to me. Before it's too late. The one you light your fires to keep away. Is crawling out upon its belly. And all you have to do is say yes"
Knives Out,"I want you to know he's not coming back. Look into my eyes, I'm not coming back. So knives out, catch the mouse. Don't look down, shove it in your mouth. If you'd been a dog, they would have drowned you at birth. Look into my eyes. It's the only way you'll know I'm telling the truth. So knives out, cook him up. Squash his head, put him in the pot. I want you to know he's not coming back. He's bloated and frozen. Still there's no point in letting it go to waste. So knives out, catch the mouse. Squash his head, put him in the pot"
Black Star,"I get home from work. And you're still standing in your dressing gown. Well, what am I to do?. I know all the things around your head. And what they do to you. What are we coming to?. What are we gonna do?. Blame it on the black star. Blame it on the falling sky. Blame it on the satellite. That beams me home. The troubled words of a troubled mind. I try to understand what is eating you. I try to stay awake, but it's 58 hours. Since that I last slept with you. What are we coming to?. I just don't know anymore. Blame it on the black star. Blame it on the falling sky. Blame it on the satellite. That beams me home. I get on the train and I just stand about. Now that I don't think of you. I keep falling over, I keep passing out. When I see a face like you. What am I coming to?. I'm gonna melt down. Blame it on the black star. Blame it on the falling sky. Blame it on the satellite. That beams me home. Ah, this is killing me. Ah, this is killing me"
Lift,"This is the place. Sit down, you’re safe now. You’ve been stuck in a lift. We’ve been trying to reach you, Thom. This is the place. It won’t hurt ever again. The smell of air conditioning. The fish are belly up. Empty all your pockets. Because it’s time to come home. This is the place. Remember me? I’m the face you always see. You’ve been stuck in a lift. In the belly of a whale at the bottom of the ocean. The smell of air conditioning. The fish are belly up. Empty all your pockets. Because it’s time to come home. The smell of air conditioning. The fish are belly up. Ah, let it go. Today is the first day. Of the rest of your days. So lighten up, squirt"
Bullet Proof... I Wish I Was,"Limb by limb and tooth by tooth. Stirring up inside of me. Every day, every hour. Wish that I. Was bulletproof. Wax me, mould me. Heat the pins and stab them in. You have turned me into this. Just wish that it. Was bulletproof. Was bulletproof. So, pay me money and take a shot. Lead, fill the hole in me. I could burst a million bubbles. All surrogate. And bulletproof. And bulletproof. And bulletproof. Bulletproof"
I Might Be Wrong,"I might be wrong, I might be wrong. I could have sworn I saw a light coming on. I used to think, I used to think. There was no future left at all. I used to think. Open up, begin again. Let's go down the waterfall. Think about the good times and never look back. Never look back. What would I do? What would I do?. If I did not have you?. Open up and let me in. Let's go down the waterfall. Have ourselves a good time, it's nothing at all. It's nothing at all, nothing at all. Keep it moving. Keep it moving"
In Limbo,"Lundy, Fastnet, Irish Sea. I got a message I can't read. Another message I can't read. Lundy, Fastnet, Irish Sea. I got a message I can’t read. Another message I can’t read. I'm on your side. Nowhere to hide. Trapdoors that open. I spiral down. You're living in a fantasy world. You're living in a fantasy world. I'm lost at sea. Don't bother me. I've lost my way. I've lost my way. You're living in a fantasy world. You're living in a fantasy world. You're living in a fantasy world. The most beautiful woman in the world. Come back. Lundy, Fastnet, Irish Sea. Another message I can't read. Lundy, Fastnet, Irish Sea. Come back. Another message I can't read. Another message I can't read. Another message I can't read. Come back. Another message I can't read. Another message I can't read. Another message I can't read. Come back"
Bloom,Open your mouth wide. A universal sigh. And while the ocean blooms. It's what keeps me alive. So why does this still hurt?. Don't blow your mind with whys. I'm moving out of orbit. (Turning in somersaults). Turning in somersaults. (A giant turtle's eyes). A giant turtle's eyes. (As jellyfish float by). Jellyfish float by. It's what keeps me alive
Myxomatosis,"The mongrel cat came home. Holding half a head. Proceeded to show it off. To all his newfound friends. He said, I been where I liked. I slept with who I like. She ate me up for breakfast. She screwed me in a vice. But now. I don't know why I. Feel so tongue tied. I sat in the cupboard. And wrote it down in neat. They were cheering and waving, cheering and waving. Twitching and salivating like with myxomatosis. But it got edited, fucked up. Strangled, beaten up. Used in a photo in Time magazine. Buried in a burning black hole in Devon. I don't know why I. Feel so tongue tied. Don't know why I. Feel so skinned alive. My thoughts are misguided and a little naïve. I twitch and I salivate like with myxomatosis. You should put me in a home or you should put me down. I got myxomatosis, I got myxomatosis. Yeah, no one likes a smartass, but we all like stars. Wait, that wasn't my intention, I did it for a reason. It must have got mixed up, strangled, beaten up. I got myxomatosis, I got myxomatosis. I don't know why I. Feel so tongue tied"
Codex,Sleight of hand. Jump off the end. Into a clear lake. No one around. Just dragonflies. Fantasized. No one gets hurt. You've done nothing wrong. Slide your hand. Jump off the end. The water's clear. And innocent. The water's clear. And innocent
Life in a Glasshouse,"Once again, I'm in trouble with my only friend. She is papering the windowpanes. She is putting on a smile. Living in a glasshouse. And once again, packed like frozen food and battery hens. Think of all the starving millions. Don't talk politics and don't throw stones. Your royal highnesses. Well of course I'd like to sit around and chat. Well of course I'd like to stay and chew the fat. Well of course I'd like to sit around and chat. But someone's listening in. Once again we are hungry for a lynching. That's a strange mistake to make. You should turn the other cheek. Living in a glasshouse. Well of course I'd like to sit around and chat. Well of course I'd like to stay and chew the fat. Well of course I'd like to sit around and chat. Only only only only only only only only only only.... There's someone listening in"
Where I End and You Begin,"There's a gap in between. There's a gap where we meet. Where I end and you begin. And I'm sorry for us. The dinosaurs roam the earth. The sky turns green. Where I end and you begin. 4, 5, 6, 7. I am up in the clouds. I am up in the clouds. And I can't, and I can't come down. I can watch but not take part. Where I end and where you start. Where you, you left me alone. You left me alone. X will mark the place. Like the parting of the waves. Like a house falling in the sea. In the sea. I will eat you alive. I will eat you alive. I will eat you alive. I will eat you alive. There'll be no more lies. There'll be no more lies. There'll be no more lies. There'll be no more lies. I will eat you alive. I will eat you alive. I will eat you alive. I will eat you alive. There'll be no more lies. There'll be no more lies. There'll be no more lies. There'll be no more lies. I will eat you alive. I will eat you alive. I will eat you alive. I will eat you alive. There'll be no more lies. There'll be no more lies. There'll be no more lies. There'll be no more lies. I will eat you alive. I will eat you alive. I will eat you alive"
Planet Telex,"You can force it but it will not come. You can taste it but it will not form. You can crush it but it's always here. You can crush it but it's always near. Chasing you home. Saying. Everything is broken. Everyone is broken. You can force it but it will stay stone. You can crush it as dry as a bone. You can walk it home straight from school. You can kiss it, you can break all the rules. All of the rules. But still. Everything is broken. Everyone is broken. Everyone is, everyone is broken. Everyone is, everything is broken. Why can't you forget?. Why can't you forget?. Why can't you forget?"
Like Spinning Plates,While you make pretty speeches. I'm being cut to shreds. You feed me to the lions. A delicate balance. When this just feels like. Spinning plates. I'm living in Cloud Cuckoo Land. And this just feels like. Spinning plates. My body's floating down the muddy river
Talk Show Host,"I want to. I want to be someone else or I'll explode. Floating upon the surface for. The birds, the birds. The birds. You want me?. Fuckin' well come and find me. I'll be waiting. With a gun and a pack of sandwiches. And nothing, nothing. Nothing, nothing. You want me?. Well, come on and break the door down. You want me?. Fuckin' come on and break the door down. I'm ready, I'm ready. I'm ready. I'm ready. I'm ready. I'm ready"
Last Flowers,"Appliances have gone berserk. I cannot keep up. Treading on people's toes. Snot-nosed little punk. And I can't face the evening straight. You can offer me escape. Houses move and houses speak. If you take me there you'll get. Relief, relief. Relief, relief. And if I'm gonna talk. I just wanna talk. Please don't interrupt. Just sit back and listen. 'Cause I can't face the evening straight. You can offer me escape. Houses move and houses speak. If you take me there you'll get. Relief, relief. Relief, relief. Relief, relief. It's too much, too bright, too powerful. Too much, too bright, too powerful. Too much, too bright, too powerful. Too much, too bright, too powerful"
Sail to the Moon,I sailed the moon. I spoke too soon. And how much did it cost?. I was dropped from moonbeams. And sailed on shooting stars. Maybe you'll be president. But know right from wrong. Or in the flood you'll build an Ark. And sail us to the moon. Sail us to the moon. Sail to the moon
The Daily Mail,"The Moonies are up on the mountain. The lunatics have taken over the asylum. Waiting on the rapture. Singing, ""We're here. To keep your prices down. Feed you to the hounds. To the Daily Mail”. Together, together. You made a pig's ear. You made a rude mistake. Paid off security. And got through the gate. You got away with it. But we lie in wait. Hey hey, hey hey hey hey. Hey hey, hey hey hey hey hey. Where's the truth, what's the use. In hanging around, lost and found. With your head in the sand. Fat chance, no plan. No regard for human life. Keep trying, you’ve no right. Fast and loose, win or lose. Jumped the queue, go back again. President for life. Lord of all that flies in the sky. The beasts of the earth, the fish in the sea. You’ve lost command. Hey hey, hey hey hey. Uh uh, uh uh uh. Uh uh uh"
You,"You are the sun and moon and stars are you. And I could never run away from you. You try at working out chaotic things. And why should I believe myself, not you?. It's like the world is gonna end so soon. And why should I believe myself?. My–. You, me and everything. Caught in the fire. I can see me drowning. Caught in the fire. You, me and everything. Caught in the fire. I can see me drowning. Caught in the fire"
Packt Like Sardines in a Crushd Tin Box,"After years of waiting. Nothing came. As your life flashed before your eyes. You realize. I'm a reasonable man. Get off, get off, get off my case. I'm a reasonable man. Get off my case, get off my case. After years of waiting. After years of waiting. Nothing came. And you realize you're looking in. Looking in the wrong place. I'm a reasonable man. Get off my case, get off my case. I'm a reasonable man. Get off my case, get off my case, get off my case. I'm a reasonable man. Get off my case, get off my case, get off my case. After years of waiting. I'm a reasonable man. Get off my case, get off my case, get off my case. I'm a reasonable man. Get off my case, get off my case, get off my case. I'm a reasonable man. Get off my case, get off my case, get off my case. I'm a reasonable man. Get off my case, get off my case, get off my case"
If You Say the Word,"If you're in a forest, out of your mind. Harpies in the branches breaking your arms. If you're stuck in rainbows, shattering glass. Where you miss the moment, watching it pass. If you say the word, if you say the word. If you say the word, if you say the word. When you spend your life wishing on a twinkling star. When you forget how lucky you are. Buried in rubble, sixty foot down. If you say the word, if you say the word. If you say the word, if you say the word. Then I'll come running. When you change your friends like changing your clothes. If you say the word, if you say the word. If you say the word, if you say the word. If you say the word, if you say the word. Then I'll come running. I'll come running"
A Punchup at a Wedding,"No no no no no no. No no no no no no. No no no no no no. No no no no no no. No no no no no no. No no no no no no. No no no no no no. I don't know why you bother. Nothing's ever good enough for you. I was there, it wasn't like that. You've come here just to start a fight. You had to piss on our parade. You had to shred our big day. You had to ruin it for all concerned. In a drunken punch-up at a wedding, yeah. Hypocrite, opportunist. Don't infect me with your poison. A bully in a china shop. When I turn 'round, you stay frozen to the spot. The pointless snide remarks. Of hammerheaded sharks. The pot will call the kettle black. It's a drunken punch-up at a wedding, yeah. No no no no no no no no no. No no no no no no no no no no no no no no. No no no no no no no no no no no no no no. No no no no no no no no no no no no no no. No no no no no no no no no no no no no no"
Pulk / Pull Revolving Doors,There are barn doors. And there are revolving doors. Doors in the rudders of big ships and there are revolving doors. There are doors that open by themselves. There are sliding doors and there are secret doors. There are doors that lock and doors that don't. There are doors that let you in and out but never open. And there are trapdoors that you can't come back from
I Will,"I will lay me down. In a bunker underground. I won't let this happen to my children. Meet the real world coming out of your shell. With white elephants, sitting ducks. I will rise up. Little baby's eyes, eyes, eyes, eyes. Little baby's eyes, eyes, eyes, eyes. Little baby's eyes, eyes eyes"
Sit Down. Stand Up.,"Sit down, stand up. Sit down, stand up. Walk into the jaws of hell (sit down). Walk into the jaws of hell (stand up). Anytime (sit down). Anytime (stand up). Sit down, stand up. Sit down. Hey, we can wipe you out anytime (stand up). We can wipe you out (sit down). Anytime. Anytime. Stand up. Sit down. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops. The raindrops, the raindrops"
Separator,"It's like I've fallen out of bed. From a long and vivid dream. The sweetest flowered fruits were hanging from the trees. Falling off the giant bird that's been carrying me. It's like I've fallen out of bed. From a long and vivid dream. Just exactly as I remember. Every word, every gesture. I've my heart. In my mouth. Like I've fallen out of bed. From a long and vivid dream. Finally I'm free of all the weight I've been carrying. And as that woman blows her cover. In the eye of the beholder. I'm a fish now out of water. Fallen off a giant bird that's been carrying me. (Did so much, did so much). I fell open, I lay under. At the tip off I lost your number. I wanna slip over. And get back under. And if you think this is over. Then you're wrong. If you think this is over. Then you're wrong. If you think this is over (Wake me up). Then you're wrong  (Wake me up). If you think this is over (Wake me up). Then you're wrong (Wake me up). Like I've fallen out of bed (Wake me up). From a long and vivid dream (Wake me up). Finally I'm free of all the weight I've been carrying (Wake me up, wake me up). When at last, you give in. When at last, you give in. Wake me up, will you wake me up?. Wake me up, will you wake me up?. Wake me up, will you wake me up?. Wake me up, will you wake me up?"
Thinking About You,"Been thinking about you. Your records are here. Your eyes are on my wall. Your teeth are over there. But I'm still no one. And you're my star. What do you care?. Been thinking about you. And there's no rest. Should I still love you. Still see you in bed. But I'm playing with myself. And what do you care when the other men are far, far better?. All the things you've got. All the things you need. Who bought you cigarettes. Who bribed the company to come and see you, honey?. I've been thinking about you. So how can you sleep?. These people aren't your friends. They're paid to kiss your feet. They don't know what I know. And why should you care, when I'm not there?. Been thinking about you. And there's no rest. Should I still love you. Still see you in bed. But I'm playing with myself. And what do you care, when I'm not there?. All the things you've got. That you'll never need. All the things you've got. I've bled and I bleed to please you. Been thinking about you"
Give Up the Ghost,"Don't hurt me, don't hurt me. Don't hurt me, don't hurt me. Don't hurt me. Gather up the lost and their souls (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Gather up the pitiful (Don't hurt me, don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). (Into your arms). What seems impossible (Don't hurt me, don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms. I think I have had my fill (Don't hurt me, don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). I think I should give up the ghost. (Don't hurt me, don't hurt me). Into your arms (Don't hurt me, don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me). Into your arms (Don't hurt me)"
Bones,"I don't want to be crippled and cracked. Shoulders, wrists, knees, and back. Ground to dust and ash. Crawling on all fours. When you've got to feel it in your bones. When you've got to feel it in your bones. Now I can't climb the stairs. Pieces missing everywhere. Prozac, painkillers. When you've got to feel it in your bones. When you've got to feel it in your bones. And I used to fly like Peter Pan. All the children flew when I touched their hands. Listen, you've got to feel it in your bones. Listen, you've got to feel it in your bones"
Sulk,"You bite through the big wall. The big wall bites back. You sit there and sulk. You sit there and bawl. You look so pretty. When you're on your knees. Disinfected. And eager to please. Sometimes you sulk. Sometimes you burn. God rest your soul. When the loving comes but we're already gone. Just like your dad, you'll never change. Each time it comes. It eats me alive. I try to behave. But it eats me alive. So I declare a holiday. Fall asleep, drift away. Sometimes you sulk. Sometimes you burn. God rest your soul. When the loving comes but we're already gone. Just like your dad, you'll never change. Sometimes you sulk. Sometimes you burn. God rest your soul. When the loving comes but we're already gone. Just like your dad, you'll never change"
Go to Sleep,"Something for the rag and bone man. Over my dead body. Something big is gonna happen. Over my dead body. Someone's son or someone's daughter. Over my dead body. This is how I end up sucked in. Over my dead body. I'm gonna go to sleep. And let this wash all over me. We don't really want a monster taking over. Tiptoe 'round, tie him down. We don't want the loonies taking over. Tiptoe 'round, tie him down. May pretty horses. Come to you as you sleep. I'm gonna go to sleep. And let this wash all over me"
Ill Wind,Keep your distance. Then no harm will come. No ill wind. Will blow. Will blow. Sudden words. Must never be spoken. All ill wind. Will blow. Will blow. Keep your cool. Do not give into emotion. An ill wind. Will blow. Will blow
Scatterbrain,"I'm walking out in a force ten gale. Birds thrown around, bullets for hail. The roof is pulling off by its fingernails. Your voice is rapping on my windowsill. Yesterday's headlines blown by the wind. Yesterday's people end up scatterbrain there. Any fool can easy pick a hole, I only wish I could fall in. A moving target in a firing range. Somewhere I'm not. Scatterbrain. Somewhere I'm not. Scatterbrain. Lightning fuse, powercut. Scatterbrain"
Dollars and Cents,"There are better things to talk about. Be constructive. Bear a weapon we can use. Be constructive with your blues. Even when it's only warnings. Even when you're talking war games. Why don't you quiet down?. (Maybe I want peace and honesty). Why don't you quiet down?. (Maybe I want to live in the children's land. And you know maybe, maybe I). Why don't you quiet down?. (Maybe I'll wander the promised land. I want peace and honesty). Why don't you quiet down?. (I want to live in the promised land. And maybe wander the children's land). Quiet down! (Yeah, and there, there we can free). You don't live in a business world and. You never go out and you never stay. We all have goals in a liberal world. Living in times when I could stand it, babe. All over, babies crying. It'll all over, maybe, I can see out of here. All over the planet's dead. All over the planet, so let me out of here. All over the, all over the, all over the, all over the. (Quiet down). We are the dollars and cents and the pounds and pence. And the mark and the yen, and yeah. (Why don't you quiet down?). We're gonna crack your little souls. We're gonna crack your little souls. (Why don't you quiet down?). We are the dollars and cents and the pounds and pence. And the pounds and pence, and yeah. (Why don't you quiet down?). We're gonna crack your little souls. Crack your little souls. We are the dollars and cents"
The Gloaming,"Genie let out of the bottle. It is now the witching hour. Genie let out of the bottle. It is now the witching hour. Murderers, you're murderers. We are not the same as you. Genie let out of the bottle. Funny, ha-ha, funny how. When the walls bend, when the walls bend. With your breathing, with your breathing. When the walls bend, when the walls bend. With your breathing, with your breathing. With your breathing. They will suck you down to the other side. They will suck you down to the other side. They will suck you down to the other side. They will suck you down to the other side. To the shadows blue and red, shadows blue and red. Your alarm bells, your alarm bells. Shadows blue and red, shadows blue and red. Your alarm bells, your alarm. They should be ringing, they should be ringing. They should be ringing, they should be ringing. They should be ringing, they should be ringing. They should be ringing, they should be ringing. They should be ringing, they should be ringing. They should be ringing, they should be ringing. This is the gloaming"
Anyone Can Play Guitar,"Destiny, destiny, protect me from the world. Destiny, hold my hand, protect me from the world. Here we are, with our running and confusion. And I don't see no confusion anywhere. And if the world does turn, and if London burns. I'll be standing on the beach with my guitar. I wanna be in a band when I get to heaven. Anyone can play guitar and they won't be a nothing anymore. Grow my hair. Grow my hair, I am Jim Morrison. Grow my hair. I wanna be, wanna be, wanna be Jim Morrison. Here we are, with our running and confusion. And I don't see no confusion anywhere. And if the world does turn, and if London burns. I'll be standing on the beach with my guitar. I wanna be in a band when I get to heaven. Anyone can play guitar and they won't be a nothing anymore"
We Suck Young Blood,"Are you hungry?. Are you sick?. Are you begging for a break?. Are you sweet?. Are you fresh?. Are you strung up by the wrists?. We want the young blood. Are you fracturing?. Are you torn at the seams?. Would you do anything?. Flea-bitten, moth eaten?. We suck young blood. We suck young blood. Won't let the creeping ivy. Won't let the nervous bury me. Our veins are thin. Our rivers poisoned. We want the sweet meats. We want the young blood"
Little by Little,"Don't turn nasty now. The dusts of hell. A pillar of my salt. The last one out of the box. The one who broke the spell. Little by little, by hook or by crook. I'm such a tease and you're such a flirt. Once you've been 'round you've been around enough. Ooh. Little by little, by hook or by crook. Never in earnest, never get judged. I'm no idiot, I should look. Ooh. The glue won't hold. The thread unpulls. Uncurling with my love. The last one out of the box. The one who broke the seal. Obligations. Complications. Routines and schedules. The drug that will kill you. Kill you. Oh, you. Little by little, by hook or by crook. Never in earnest, never get judged. I'm no idiot, I should look. Little by little, by hook or by crook. I'm such a tease and you're such a flirt"
Go Slowly,"Over here, come slowly. Come slowly to me. I've been waiting. Patient, patiently. I didn't get it, but now I can see. That there's a way out, that there's a way out. That there's a way out, that there's a way out. That there's a way out"
Polyethylene (Parts 1 & 2),"Go!. Tears of joy now scare ourselves. From all that you want to be. Just got paid and now you're going. Round inside your place. If I get scared I'll just call you. And I'll miss your glow as I unsettle. Oh, and I'll always feel. I will always be-. -a'right. One, two, three. Four. So sell your suit and tie. And come and live with me. Leukemia schizophrenia. Polyethylene. There is no significant risk to your health. She used to be beautiful once as well. Plastic bag, middle class. Polyethylene. Decaffeinate, unleaded. Keep all surfaces clean. If you don't believe me, sell your soul. If you don't get into it, no one will. Oh. Obtain. Obtain"
Backdrifts,"We're rotten fruit, we're damaged goods. What the hell, we've got nothing more to lose. One gust and we will probably crumble. We're backdrifting. This far, but no further. I'm hanging off a branch. I'm teetering on the brink of. Honey sweets, so full of sleep. I'm backsliding. You fell into our arms. You fell into our arms. We tried but there was nothing we could do. Nothing we could do. All evidence has been buried. All tapes have been erased. But your footsteps give you away. So you're backtracking. Uh, uh, uh!. You fell into our arms. You fell into our arms. We tried but there was nothing we could do. Nothing we could do. You fell into our, you fell into our.... We're rotten fruit, we're damaged goods. What the hell, we've got nothing more to lose. One gust and we will probably crumble. We're backdrifters"
How I Made My Millions,"I was stronger, I was better. Picked you out. Now don't say a word, no, don't yell out. Never mind. Let you let out, led you back. Stay on, sit down. Let it fall, let it fall. Let it fall, let it fall"
